; Gadget version 2.3.5 running on c211-17 Tue May 30 23:53:38 2023
; a simulation run was performed giving a likelihood value of 10807.368
; -- data --
switch	value		lower	upper	optimise
Linf	   29.174445	      14       30        1
kappa	  0.08317511	    0.05      1.2        1
alpha	3.128958e-06	   1e-07       10        0
beta	   3.2776676	  0.0001       10        0
bbeta	   4999.9997	    0.01     5000        1
init0	    1.999999	   1e-06        2        1
init1	   1.9585686	   1e-06        3        1
init2	1.0022805e-06	   1e-06      1.5        1
init3	  0.12468041	   1e-07      1.1        1
rec79	    252.3337	   1e-06     1000        1
reclm	   6.2042942	       3       15        1
sdreclm	  0.85143389	     0.5        3        1
rec80	   76.045075	   1e-06     1000        1
rec81	   12.991144	   1e-06     1000        1
rec82	1.0002893e-06	   1e-06     1000        1
rec83	1.0000088e-06	   1e-06     1000        1
rec84	1.0000008e-06	   1e-06     1000        1
rec85	1.0000109e-06	   1e-06     1000        1
rec86	   10.111966	   1e-06     1000        1
rec87	   50.799708	   1e-06     1000        1
P388	  0.97339172	       0        1        1
rec88	    160.0545	   1e-06     1000        1
recl	   9.8667077	       3       15        1
sdrecl	    1.679041	     0.5        4        1
P389	1.5287718e-14	       0        1        1
rec89	   598.06091	   1e-06     1000        1
P390	   0.2299311	       0        1        1
rec90	   163.78642	   1e-06     1000        1
P391	  0.26884059	       0        1        1
rec91	   147.81167	   1e-06     1000        1
P392	0.0057417882	       0        1        1
rec92	   83.730157	   1e-06     1000        1
P393	0.0010753622	       0        1        1
rec93	   121.41986	   1e-06     1000        1
P394	1.8399146e-14	       0        1        1
rec94	   172.96309	   1e-06     1000        1
P395	  0.28585693	       0        1        1
rec95	   295.80542	   1e-06     1000        1
P396	  0.17991137	       0        1        1
rec96	   945.69826	   1e-06     1000        1
P397	  0.24771521	       0        1        1
rec97	   288.53057	   1e-06     1000        1
P398	 0.059868212	       0        1        1
rec98	   294.25045	   1e-06     1000        1
P399	  0.12866976	       0        1        1
rec99	   182.34025	   1e-06     1000        1
P300	  0.16242264	       0        1        1
rec00	   235.17924	   1e-06     1000        1
P301	  0.30013331	       0        1        1
rec01	   255.50264	   1e-06     1000        1
P302	2.9063089e-15	       0        1        1
rec02	   133.89504	   1e-06     1000        1
P303	  0.23081236	       0        1        1
rec03	   176.08767	   1e-06     1000        1
P304	  0.34090307	       0        1        1
rec04	   167.91428	   1e-06     1000        1
P305	  0.72501381	       0        1        1
rec05	    287.0452	   1e-06     1000        1
P306	  0.56048866	       0        1        1
rec06	    185.4575	   1e-06     1000        1
P307	 0.052511486	       0        1        1
rec07	   221.49705	   1e-06     1000        1
P308	1.2077726e-14	       0        1        1
rec08	   493.96858	   1e-06     1000        1
P309	  0.54254741	       0        1        1
rec09	   132.07398	   1e-06     1000        1
P310	  0.39406761	       0        1        1
rec10	   231.88819	   1e-06     1000        1
P311	4.9126975e-14	       0        1        1
rec11	   179.35222	   1e-06     1000        1
P312	  0.17099221	       0        1        1
rec12	   165.15027	   1e-06     1000        1
P313	  0.42166825	       0        1        1
rec13	   267.84076	   1e-06     1000        1
P314	  0.66013641	       0        1        1
rec14	   186.81564	   1e-06     1000        1
P488	  0.53677823	       0        1        1
sdrecl4	           4	     0.5        4        1
P489	  0.27920627	       0        1        1
P490	  0.77420349	       0        1        1
